experiment,model,feature_tier,split,seed,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_val,n_test,n_features,train_positive_rate,test_positive_rate,status,train_seconds,inference_seconds,warning_count,convergence_warning_count,warning_messages,model_path,error_type,error_message,f1,macro_f1,balanced_accuracy,mcc,brier_score,ece,auroc,auprc
cse_cic2018_partial_s42,logistic_regression,deployment_safe,random_stratified,42,,1f001324943b2e17,d2a1e637f6c65ede,0b259b5546c72f98,140649,30139,30140,77,0.6018457294399534,0.6018579960185799,completed,15.157704446000025,0.11667976600006114,0,0,,,,,0.8860795214041821,0.8617895091221692,0.8662036475560455,0.7250088231183882,0.10185467182832109,0.03947880419183264,0.9277797087467843,0.9571011776694985
cse_cic2018_partial_s42,hist_gradient_boosting,deployment_safe,random_stratified,42,,1f001324943b2e17,d2a1e637f6c65ede,0b259b5546c72f98,140649,30139,30140,77,0.6018457294399534,0.6018579960185799,completed,8.072485084999926,0.2354970140002024,0,0,,,,,0.936254082666967,0.9224155246156673,0.9270190187431091,0.8460931452656523,0.0513502550086221,0.015075433289324907,0.98330427692025,0.9897451715452297
cse_cic2018_partial_s42,random_forest,deployment_safe,random_stratified,42,,1f001324943b2e17,d2a1e637f6c65ede,0b259b5546c72f98,140649,30139,30140,77,0.6018457294399534,0.6018579960185799,completed,14.593580986999996,0.44952860900002634,0,0,,,,,0.9299735802960143,0.9158420874086635,0.9222826626240352,0.8341669903066119,0.05918263760976248,0.01059826297349088,0.9750135221425946,0.9855547824695031
cse_cic2018_partial_s42,logistic_regression,deployment_safe,temporal,42,,1f001324943b2e17,d2a1e637f6c65ede,c3d38fb248973810,140649,30139,30140,77,0.5578923419291997,0.609256801592568,completed,18.0281857760001,0.12196662899987132,0,0,,,,,0.6415371076562042,0.6726832411766237,0.7313610160897628,0.49477714312470633,0.2716754013818612,0.3619062197528103,0.6764736059661525,0.799934232747719
cse_cic2018_partial_s42,hist_gradient_boosting,deployment_safe,temporal,42,,1f001324943b2e17,d2a1e637f6c65ede,c3d38fb248973810,140649,30139,30140,77,0.5578923419291997,0.609256801592568,completed,7.779647350999994,0.29714467899998454,0,0,,,,,0.8803453947368421,0.8312247378027153,0.8211318736261946,0.6727834071260111,0.12188303980487696,0.0863807883536166,0.900985388256529,0.9226290231823284
cse_cic2018_partial_s42,random_forest,deployment_safe,temporal,42,,1f001324943b2e17,d2a1e637f6c65ede,c3d38fb248973810,140649,30139,30140,77,0.5578923419291997,0.609256801592568,completed,12.833030408000013,0.3252876940000533,0,0,,,,,0.9439764455712767,0.9284482422779897,0.9287419883111545,0.856901026603175,0.10455396975151304,0.16505229687520168,0.9452702396235003,0.9368968041357753
cse_cic2018_partial_s42,logistic_regression,deployment_safe,day_holdout_2018-03-02,42,,1f001324943b2e17,d2a1e637f6c65ede,e045f0eb774a3529,126833,27842,46253,77,0.5878675108213162,0.6486065768706895,completed,12.453591494999955,0.20120231300006708,0,0,,,,,0.6496058596279672,0.6604131969695625,0.7351564685493961,0.48150437828565995,0.26159160513890817,0.38436645378496676,0.6832896449886174,0.8255246594800147
cse_cic2018_partial_s42,hist_gradient_boosting,deployment_safe,day_holdout_2018-03-02,42,,1f001324943b2e17,d2a1e637f6c65ede,e045f0eb774a3529,126833,27842,46253,77,0.5878675108213162,0.6486065768706895,completed,7.709538428000087,0.3726708540000345,0,0,,,,,0.8889236692595432,0.8204447794450653,0.8042542853627023,0.6564926277253932,0.1056163476494491,0.14161271448028354,0.9654395034762813,0.9849450481218965
cse_cic2018_partial_s42,random_forest,deployment_safe,day_holdout_2018-03-02,42,,1f001324943b2e17,d2a1e637f6c65ede,e045f0eb774a3529,126833,27842,46253,77,0.5878675108213162,0.6486065768706895,completed,11.728976886000055,0.5089461259999553,0,0,,,,,0.9439052311980489,0.9195063648622019,0.9178949916938411,0.8390897947201672,0.09959570062781745,0.17595163398064992,0.9423688611333292,0.9351973867388674
cse_cic2018_partial_s42,logistic_regression,deployment_safe,scenario_holdout_Web,42,,1f001324943b2e17,d2a1e637f6c65ede,ef6e92a7f349eba5,150880,33120,16928,77,0.6521739130434783,0.054820415879017016,completed,18.431102840999984,0.08733488200005013,0,0,,,,,0.36914749661705004,0.6459311303581918,0.8023006465517242,0.3721786962200866,0.08353963593876326,0.16934075629129713,0.8233515625,0.3822489438459412
cse_cic2018_partial_s42,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,42,,1f001324943b2e17,d2a1e637f6c65ede,ef6e92a7f349eba5,150880,33120,16928,77,0.6521739130434783,0.054820415879017016,completed,7.877392056999952,0.15063437599997087,0,0,,,,,0.5261348005502063,0.7408042491829485,0.874207974137931,0.5300939812071997,0.07073719906720606,0.13189097376198308,0.8865908539870688,0.6169800746529418
cse_cic2018_partial_s42,random_forest,deployment_safe,scenario_holdout_Web,42,,1f001324943b2e17,d2a1e637f6c65ede,ef6e92a7f349eba5,150880,33120,16928,77,0.6521739130434783,0.054820415879017016,completed,15.415506770000093,0.4128011110001353,0,0,,,,,0.4823395366502089,0.7193429099194419,0.8086961206896552,0.46696338832363987,0.07065519600997607,0.11316579525425739,0.8074508351293104,0.2908689074454543
