model,feature_tier,split,metric,n_seeds,mean_across_seeds,inter_seed_std,inter_seed_variance,min_seed_metric,max_seed_metric
hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,macro_f1,3,0.3677480628416839,0.00015041886910947447,2.2625836184173214e-08,0.3675745176606995,0.3678409500705129
hist_gradient_boosting,deployment_safe,endpoint_pair_holdout,macro_f1,3,0.9886903275172925,0.005119922837995108,2.6213609867023877e-05,0.9827787960627624,0.99170899605531
hist_gradient_boosting,deployment_safe,random_stratified,macro_f1,3,0.9959330479499443,0.0001542358818478545,2.3788707249385334e-08,0.995755767629154,0.9960364350810366
hist_gradient_boosting,deployment_safe,scenario_holdout_Web,macro_f1,3,0.5387424922439806,0.07190149553121726,0.005169825059625656,0.4968859864611202,0.6217662341210263
hist_gradient_boosting,deployment_safe,temporal,macro_f1,3,0.22976615147843163,0.00017988384809915965,3.235819880696154e-08,0.2296243469066536,0.2299684949921531
hist_gradient_boosting,no_identity,day_holdout_2017-07-07,macro_f1,3,0.4502576490133592,0.06800982275317448,0.00462533599091821,0.3717410894026884,0.4908191521672386
hist_gradient_boosting,no_identity,endpoint_pair_holdout,macro_f1,3,0.9960547020628562,0.00476553290751902,2.2710303892646688e-05,0.9905725241292882,0.9992076134685288
hist_gradient_boosting,no_identity,random_stratified,macro_f1,3,0.9995196422904963,5.0115412982825784e-05,2.5115546184391834e-09,0.9994626578391496,0.9995568599873303
hist_gradient_boosting,no_identity,scenario_holdout_Web,macro_f1,3,0.5026124726370153,0.0054530577915592425,2.9735839278084963e-05,0.498544501409108,0.508808734892997
hist_gradient_boosting,no_identity,temporal,macro_f1,3,0.23327905964230258,0.00251385589011678,6.319471436274828e-06,0.2306243451013172,0.2356231958787881
logistic_regression,deployment_safe,day_holdout_2017-07-07,macro_f1,3,0.6378599146704148,0.002154409139983409,4.6414787424440525e-06,0.6358442640322166,0.6401304129958748
logistic_regression,deployment_safe,endpoint_pair_holdout,macro_f1,3,0.8805855328848087,0.014318574869552774,0.00020502158629498825,0.8649805552772996,0.893119310275919
logistic_regression,deployment_safe,random_stratified,macro_f1,3,0.9351265718666157,0.001670858461516693,2.7917679984219307e-06,0.9338592853012392,0.9370200788599228
logistic_regression,deployment_safe,scenario_holdout_Web,macro_f1,3,0.4829911981570844,0.0005973791778804647,3.568618821651399e-07,0.4823017205787681,0.4833540306997068
logistic_regression,deployment_safe,temporal,macro_f1,3,0.5399385610079928,0.0,0.0,0.5399385610079928,0.5399385610079928
logistic_regression,no_identity,day_holdout_2017-07-07,macro_f1,3,0.6409831240570293,0.0010030819345244683,1.0061733673693496e-06,0.6399233577506193,0.6419177848025216
logistic_regression,no_identity,endpoint_pair_holdout,macro_f1,3,0.8833786277387979,0.014550195758916322,0.00021170819662278653,0.8670546155292267,0.8949834765148528
logistic_regression,no_identity,random_stratified,macro_f1,3,0.9362273494309985,0.0004521439395322321,2.0443414205572675e-07,0.9357176713913684,0.9365801954097236
logistic_regression,no_identity,scenario_holdout_Web,macro_f1,3,0.4832354811371229,0.0006437814232077889,4.1445452086744617e-07,0.4828323615608541,0.4839779433899301
logistic_regression,no_identity,temporal,macro_f1,3,0.5402045030211835,0.0,0.0,0.5402045030211835,0.5402045030211835
